auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Karr, Alphonse",1854-02-15T00:00:00+01:00,Histoire d'un pion,E. Blanchard,"non-canonique, littérature jeunesse",1850-1860,24,23,,1,Marianne ,,,
"Mallefille, Félicien",1859-02-15T00:00:00+01:00,Monsieur Corbeau,Michel Lévy frères (Paris),non-canonique ,1850-1860,1,2,,1,Marianne ,,,
"Musset, Paul de",1859-02-15T00:00:00+01:00,Lui et Elle,impr. de G. Paetz,non-canonique ,1850-1860,1,non pertinent,,7,Marianne ,,,
"Ponson du Terrail, Pierre",1858-08-27T00:00:00+01:00,Rocambole - Le Club des valets-de-cœur - Tome I,Ebooks libres et gratuits,non-canonique,1850-1860,9,10,,20,Camille ,,,
"Pressensé, Élise de",1858-05-25T00:00:00+01:00,Rosa,C. Meyrueis,non-canonique ,1850-1860,0,7,,11,Marianne ,,,
"Reybaud, Louis",1855-03-15T00:00:00+01:00,La vie de l'employé,impr. de Crété (Corbeil),non-canonique ,1850-1860,3,7,,1,Marianne ,,,
"Soulié, Frédéric",1857-03-15T00:00:00+01:00,Le Magnétiseur,Librairie nouvelle,non-canonique ,1850-1860,14,non pertinent,,12,Marianne ,,,
"Souvestre, Émile",1858-03-15T00:00:00+01:00,Scènes de la chouannerie,Michel-Lévy frères (Paris),non-canonique ,1850-1860,7,35,,6,Marianne ,,,
"Souvestre, Émile",1851-06-28T00:00:00+01:00,Les derniers paysans - Tome 1,,non-canonique ,1850-1860,7,35,,9,Marianne ,,,
"Strub, Florence",1859-03-15T00:00:00+01:00,"L'Ermite de Vallombreuse, suivi de Madeleine",E. Dentu (Paris),non-canonique ,1850-1860,0,0,,1,Marianne ,,,
"Texier, Edmond Auguste",1856-03-15T00:00:00+01:00,Amour et finance,Michel Lévy frères (Paris),non-canonique ,1850-1860,0,0,,2,Marianne ,,,
"Ulbach, Louis",1855-03-15T00:00:00+01:00,L'amour et la mort,"Kiessling, Schnée (Bruxelles-Leipzig)",non-canonique ,1850-1860,2,3,,1,Camille  ,,,
"Veuillot, Louis",1858-03-15T00:00:00+01:00,L'Honnête femme,J. Lecoffre (Paris),non-canonique ,1850-1860,16,20,,5,Marianne ,,,
"Barbey d'Aurevilly, Jules",1864-01-04T00:00:00+01:00,Un prêtre marié,Bibebook,canonique,1860-1870,105,2183,,27,Camille  ,Notes de bas de page + introduction nommée préface,,
"Barbey d'Aurevilly, Jules",1864-12-16T00:00:00+01:00,Le Chevalier des Touches,,canonique,1860-1870,105,2183,,42,texte moche ,,,
"Daudet, Alphonse",1868-01-01T00:00:00+01:00,Le petit Chose,Bibebook,canonique,1860-1870,80,263,,97,Camille,Notes de bas de page,Notes de bas de page,
"Dumas, Alexandre Père",1864-01-01T00:00:00+01:00,"La San-Felice, Tome I",Atramenta (www.atramenta.net),canonique,1860-1870,350,3110,,17,Camille,head pour titre de chapitres; avant-propos = préface,,
"Dumas, Alexandre Père",1867-01-01T00:00:00+01:00,Les Blancs et les Bleus I,Bibebook,canonique,1860-1870,350,3110,,1,Camille,Notes de bas de page,,
"Flaubert, Gustave",1862-02-12T00:00:00+01:00,Salammbô,,canonique,1860-1870,463,4430,,155,Camille ,,,
"Flaubert, Gustave",1869-02-16T00:00:00+01:00,L’Éducation Sentimentale,,canonique,1860-1870,463,4430,,149,Camille ,,,
"Fromentin, Eugène",1863-09-24T00:00:00+01:00,Dominique,,canonique,1860-1870,25,73,,91,Camille,contestable pour canonique!,,
"Gautier, Théophile",1863-01-04T00:00:00+01:00,Le capitaine Fracasse,Bibebook,canonique,1860-1870,475,1150,,194,Camille,,,
"Goncourt, Edmond et Jules de",1865-01-04T00:00:00+01:00,Germinie Lacerteux,Bibebook,canonique,1860-1870,55,1110,,31,Camille,,,
"Goncourt, Edmond et Jules de",1869-01-04T00:00:00+01:00,Madame Gervaisais,Bibebook,canonique,1860-1870,55,1110,,12,Camille,,,
"Hugo, Victor",1862-06-08T00:00:00+01:00,Les Misérables,,canonique,1860-1870,1120,2880,,419,,Pas de div pour les chapitres : retrouver le texte si possible... ,,
"Hugo, Victor",1866-01-15T00:00:00+01:00,Les travailleurs de la mer,Librairie illustrée (Paris),canonique,1860-1870,1120,2880,,91,Camille,,,
"Hugo, Victor",1869-01-01T00:00:00+01:00,L’homme qui rit,Bibebook,canonique,1860-1870,1120,2880,,66,Camille,"Notes de bas de page + cas ""Deux chapitres préliminaires"" = enlever la div? ",,
"Sand, George",1861-08-23T00:00:00+01:00,Valvèdre,,canonique,1860-1870,2380,2510,,8,Camille ,,,
"Sand, George",1861-02-15T00:00:00+01:00,La ville noire,Michel-LÃ©vy frÃ¨res (Paris),canonique,1860-1870,2380,2510,,12,Camille,,,
"Vallès, Jules",1866-03-15T00:00:00+01:00,Les Réfractaires,A. Faure,canonique,1860-1870,100,206,,13,Camille,Cas compliqué à regarder ensemble,,
"Verne, Jules",1863-01-04T00:00:00+01:00,Cinq semaines en ballon,Bibebook,canonique,1860-1870,1670,1480,,80,Camille,Notes de bas de page+chapitre sous titré d'un résumé = mettre une div,,
"Verne, Jules",1865-01-04T00:00:00+01:00,De la Terre à la Lune,Bibebook,canonique,1860-1870,1670,1480,,95,Camille,Notes de bas de page,,
"Verne, Jules",1864-10-15T00:00:00+01:00,Voyage au centre de la terre,,canonique,1860-1870,1670,1480,,100,Camille,Notes de bas de page,,
"Verne, Jules",1866-01-04T00:00:00+01:00,Voyages et Aventures du Capitaine Hatteras,Bibebook,canonique,1860-1870,1670,1480,,19,Camille,Notes de bas de page,,
"Vigny, Alfred de",1867-03-15T00:00:00+01:00,"La vie et la mort du capitaine Renaud, ou La canne de jonc : souvenirs de grandeur militaire",Michel Lévy frères (Paris),canonique,1860-1870,83,271,,3,Camille,Une note de bas de page ,,
"Villiers de l'Isle-Adam, Auguste",1862-08-20T00:00:00+01:00,Isis,,canonique,1860-1870,4,171,,10,Camille,"texte n'a pas été converti en entier, il manque la fin",,
"Zola, Émile",1867-01-04T00:00:00+01:00,Thérèse Raquin,Bibebook,canonique,1860-1870,366,2450,,97,Camille ,,,
"About, Edmond",1862-01-01T00:00:00+01:00,L'homme à l'oreille cassée,Bibebook,non-canonique,1860-1870,9,non pertinent,,41,,,,
"Assollant, Alfred",1860-11-19T00:00:00+01:00,Histoire fantastique du célèbre Pierrot,,non-canonique,1860-1870,0,0,,8,Camille,"Aventure comme ""part"" avec des sous parties comme ""chapt"" ",,
"Bastide, Jenny",1864-01-15T00:00:00+01:00,Le monstre,A. de Vresse (Paris),non-canonique,1860-1870,1,non pertinent,,4,Camille,Epigraphe à chaque chapitre,,
"Camp, Maxime du",1862-01-15T00:00:00+01:00,L'homme au bracelet d'or,Michel Lévy frères,non-canonique,1860-1870,59,240,,2,Camille,Histoire plus que partie. ,,
