auteur,Date,Titre,Source,Etiquettes ,Décennie,"Notoriété sur Fabula : ""Prénom+nom"" ",Notoriété sur Fabula : nom,Commentaires ,Documents BNF ,Nom du relecteur ,Remarques,Problèmes,
"Bourget, Paul",1919-10-07T00:00:00+01:00,Laurence Albani,Ebooks libres et gratuits,canonique,1910-1920,149,353,,5,Camille ,,,
Colette,1919-07-19T01:00:00+02:00,Mitsou,Groupe «Ebooks libres et gratuits»,canonique,1910-1920,non pertinent,1190,,23,Camille,,,
"France, Anatole",1912-03-14T00:00:00+01:00,Les Dieux ont soif,,canonique,1910-1920,192,non pertinent,,61,Camille,,,
"Gide, André",1914-01-01T00:00:00+01:00,Les Caves du Vatican,,canonique,1910-1920,1100,1950,,34,,"absence de div, à retrouver si possible ",,
"Gide, André",1918-10-15T00:00:00+01:00,Si le grain ne meurt,Ebooks libres et gratuits,canonique,1910-1920,1100,1950,,31,Camille,,,
"Gide, André",1919-09-30T01:00:00+02:00,La Symphonie Pastorale,,canonique,1910-1920,1100,1950,,49,,absence de div+XML incomplet,,
"Gide, André",1911-09-30T00:00:00+01:00,Isabelle,canonique,canonique,1910-1920,1100,1950,,21,,absence de div (mais structure semble relativement simple),,
"Giraudoux, Jean",1919-10-05T01:00:00+02:00,Elpénor,inconnu,canonique,1910-1920,111,303,,11,Camille,,,
"Gourmont, Remy de",1913-08-14T00:00:00+01:00,La petite ville,Atramenta (www.atramenta.net),canonique,1910-1920,174,294,,6,,Statut de ces textes ? Nouvelles ? ,,
"Larbaud, Valery",1911-06-11T00:00:00+01:00,Fermina Marquez,Editions Gallimard,canonique,1910-1920,185,329,,24,Camille,,,
"Loti, Pierre",1912-01-04T00:00:00+01:00,Un pèlerin d'Angkor,Bibebook,canonique,1910-1920,132,212,,12,Camille,Notes de bas de page,,
"Loti, Pierre",1919-01-04T00:00:00+01:00,Prime jeunesse,Bibebook,canonique,1910-1920,132,212,,6,Camille,,,
"Mac Orlan, Pierre",1918-01-01T00:00:00+01:00,Le chant de l’équipage,ÉFÉLÉ,canonique,1910-1920,52,105,,18,,XML incomplet,,
"Mauriac, François",1913-05-23T00:00:00+01:00,L'enfant chargé de chaînes,,canonique,1910-1920,360,866,,9,Camille,,,
"Martin du Gard, Roger",1913-08-17T00:00:00+01:00,Jean Barois,,canonique,,139,212,,24,,Partie+chapitre+subdivision : quel div ?,,
"Proust, Marcel",1913-01-04T00:00:00+01:00,À la recherche du temps perdu I (Du côté de chez Swann),Bibebook,canonique,1910-1920,1950,7220,,65,Marianne,,,
"Rolland, Romain",1910-04-14T00:00:00+01:00,Jean-Christophe - Tome VIII - Les amies,Ebooks libres et gratuits,canonique,1910-1920,226,non pertinent,,20,Camille,,,
"Rolland, Romain",1914-10-16T00:00:00+01:00,Colas Breugnon,Ebooks libres et gratuits,canonique,1910-1920,226,non pertinent,,68,Camille,,,
"Romains, Jules",1913-02-21T00:00:00+01:00,Les copains,,canonique,1910-1920,108,non pertinent,,19,Camille,,,
"Roussel, Raymond",1914-12-15T00:00:00+01:00,Locus Solus,Bibebook,canonique,1910-1920,130,421,,12,Camille,notes de bas de page ,,
"Roussel, Raymond",1910-12-15T00:00:00+01:00,Impressions d’Afrique,Bibebook,canonique,1910-1920,130,421,,22,Camille,,,
"Allais, Alphonse",1913-03-24T00:00:00+01:00,Le Captain Cap,,non-canonique,1910-1920,62,non pertinent,,10,,,,
"Audoux, Marguerite",1910-01-01T00:00:00+01:00,Marie-Claire,Bibebook,non-canonique,1910-1920,29,31,,18,Camille,,,
"Bazin, René",1919-11-02T00:00:00+01:00,Les Nouveaux Oberlé,Ebooks libres et gratuits,non-canonique,1910-1920,8,non pertinent,,2,Camille,,,
"Bernède, Arthur",1917-01-04T00:00:00+01:00,Judex,Bibebook,"non-canonique, roman historique",1910-1920,3,5,,7,Camille,,,
"Bordeaux, Henry",1913-06-01T00:00:00+01:00,La Maison,,non-canonique,1910-1920,20,non pertinent,,28,,Absence de div,,
"Boylesve, René",1912-02-15T00:00:00+01:00,Madeleine jeune femme,,non-canonique,1910-1920,15,20,,3,Camille,,,
"Châteaubriant, Alphonse de",1911-06-04T00:00:00+01:00,Monsieur des Lourdines,,non-canonique,1910-1920,1,4,,21,,Absence de div (mais structure simple à retrouver),,
"Cim, Albert",1910-01-01T00:00:00+01:00,Le petit Léveillé,Bibebook,non-canonique,1910-1920,3,non pertinent,,4,Camille,,,
"Courteline, Georges",1912-01-04T00:00:00+01:00,Les Linottes,Bibebook,non-canonique,1910-1920,5,20,,17,,,,
"Dombre, Roger",1910-01-01T00:00:00+01:00,Un tuteur embarrassé,Bibebook,non-canonique,1910-1920,0,non pertinent,,3,Camille,,,
"Dumur, Louis",1919-01-15T00:00:00+01:00,Nach Paris! Roman,,non-canonique,1910-1920,28,non pertinent,,6,,,,
"Farrère, Claude",1911-06-27T00:00:00+01:00,La maison des hommes vivants,,non-canonique,1910-1920,10,10,,6,Camille,,,
"Galopin, Arnould",1910-01-01T00:00:00+01:00,La ténébreuse affaire de Green-Park,Bibebook,non-canonique,1910-1920,4,12,,2,Camille ,,,
"Hémon, Louis",1916-01-04T00:00:00+01:00,Maria Chapdelaine,Bibebook,non-canonique,1910-1920,34,47,,49,Camille,,,
"Ivoi, Paul d'",1910-01-15T00:00:00+01:00,Millionnaire malgré lui (tome 1),Boivin,non-canonique,1910-1920,13,13,,8,Camille ,,,
"Lermina, Jules",1913-01-04T00:00:00+01:00,L'effrayante aventure,Bibebook,non-canonique,1910-1920,9,14,,1,Camille,note de bas de page,,
"Leroux, Gaston",1910-01-04T00:00:00+01:00,Le fantôme de l'Opéra,Bibebook,"non-canonique, non-canonique",1910-1920,45,non pertinent,,27,Camille,,,
"Leroux, Gaston",1911-01-14T00:00:00+01:00,L’homme qui a vu le diable,Ebooks libres et gratuits,"non-canonique, nouvelle",1910-1920,45,non pertinent,,9,Camille,,,
"Level, Maurice",1910-01-04T00:00:00+01:00,Les portes de l'enfer,Bibebook,non-canonique,1910-1920,2,non pertinent,,2,Camille ,,,
"Marchal, Gustave",1911-02-15T00:00:00+01:00,Tante Météore,Hachette,non-canonique,1910-1920,0,non pertinent ,,1,Camille,,,
"Pergaud, Louis",1912-09-29T00:00:00+01:00,La Guerre des boutons,,"non-canonique, littérature jeunesse",1910-1920,12,15,,70,Camille,notes de bas de page,,
"Psichari, Ernest",1913-10-25T00:00:00+01:00,L'appel des armes,J. Lambert,non-canonique,1910-1920,6,14,,7,Camille ,,,
"Renard, Maurice",1910-01-04T00:00:00+01:00,Le Péril Bleu,Bibebook,"non-canonique, fantastique",1910-1920,27,non pertinent,,9,Camille ,,,
"Rosny aîné, J-H",1911-01-01T00:00:00+01:00,La guerre du feu,Hachette Jeunesse,"non-canonique, science-fiction",1910-1920,9,106,,72,Camille,,,
"Zévaco, Michel",1910-01-04T00:00:00+01:00,Triboulet,Bibebook,non-canonique,1910-1920,52,56,,11,,XML incomplet,,
"Barrès, Maurice",1921-01-01T00:00:00+01:00,Un jardin sur l'Oronte,,canonique,1920-1930,183,437,,23,Camille ,,,
"Bernanos, Georges",1926-05-05T01:00:00+02:00,Sous le soleil de Satan,Groupe «Ebooks libres et gratuits»,canonique,1920-1930,108,319,,28,,,,
"Bernanos, Georges",1927-06-04T01:00:00+02:00,L'imposture,,canonique,1920-1930,108,319,,9,Camille ,,,
"Bernanos, Georges",1929-06-04T01:00:00+02:00,La joie,,canonique,1920-1930,108,319,,16,,div de partie mais pas de chapitre. Mais pas compliqué de retrouver la structure si besoin,,
"Bourget, Paul",1921-01-30T00:00:00+01:00,L'Écuyère,,canonique,1920-1930,148,non pertinent,,3,Camille,,,
"Bourget, Paul",1926-01-01T00:00:00+01:00,Le danseur mondain,Bibebook,canonique,1920-1930,148,non pertinent,,4,Camille,,,
"Cendrars, Blaise",1925,L'or,,canonique ,,317,565,,37,,"Pb : comment nommer ce qui est dessous du chapitre (numéroté I, II, III",,
Colette,1920-09-01T01:00:00+02:00,Chéri,,canonique,1920-1930,non pertinent,1190,,52,Camille,aucune div (mais correspond au texte,,
Colette,1923-10-18T00:00:00+01:00,Le Blé en herbe,Ebooks libres et gratuits,canonique,1920-1930,non pertinent,1190,,35,Camille ,,,
Colette,1928-07-02T01:00:00+02:00,La naissance du jour,LE LIVRE DE POCHE,canonique,1920-1930,non pertinent,1190,,27,Camille ,,,
"Gide, André",1927-12-20T00:00:00+01:00,Les Faux-monnayeurs,Ebooks libres et gratuits,canonique,1920-1930,1100,1950,,58,Camille ,,,
"Giono, Jean",1929-09-10T01:00:00+02:00,Colline,,canonique,1920-1930,260,451,,33,Camille,une seule div mais conforme au texte,,
"Green, Julien",1927-10-05T00:00:00+01:00,Adrienne Mesurat,Fayard,canonique,1920-1930,119,non pertinent,,20,Camille,,,
"Guilloux, Louis",1927-06-10T01:00:00+02:00,La Maison du peuple,Grasset,canonique,1920-1930,93,112,,14,,conversion n'a pas été faite ,,
"Larbaud, Valery",1923-05-31T01:00:00+02:00,"Amants, heureux amants...",Gallimard,canonique,1920-1930,185,329,,13,Camille,,,
"Mac Orlan, Pierre",1926-03-15T00:00:00+01:00,Les clients du Bon Chien Jaune,,canonique,1920-1930,52,105,,11,Camille ,,,
"Martin du Gard, Roger",1922-06-18T01:00:00+02:00,Les Thibault - Tome I - Le Cahier gris,Ebooks libres et gratuits,canonique,1920-1930,139,212,,23,Camille,,,
"Mauriac, François",1920-12-02T00:00:00+01:00,La chair et le sang,,canonique,1920-1930,360,866,,13,Camille ,,,
"Mauriac, François",1922-03-05T00:00:00+01:00,Le baiser au lépreux,,canonique,1920-1930,360,866,,23,Camille,,,
"Proust, Marcel",1913,Du côté de chez Swann,,canonique,1920-1930,1950,7220,,,,voir avec Fred (je ne retrouve plus la totale) ,,
"Ramuz, Charles-Ferdinand",1926-10-12T00:00:00+01:00,La grande peur dans la montagne,,canonique,1920-1930,39,226,,16,Camille ,,,
"Rolland, Romain",1922-06-14T01:00:00+02:00,L'âme enchantée - Annette et Sylvie - Volume 1,,canonique,1920-1930,225,non pertinent,,10, Camille,texte structuré en parties mais pas de div pour les chapitres ,,
"Saint-Exupéry, Antoine de",1929-04-16T00:00:00+01:00,Courrier Sud,Ebooks libres et gratuits,canonique,1920-1930,26,105,,29,Camille ,,,
"Segalen, Victor",1922-07-15T01:00:00+02:00,René Leys,G. Crès,canonique,1920-1930,247,432,,14,Camille ,Texte structuré par des dates qui sont considérées commes des chapitres ,,
"Yourcenar, Marguerite",1929-09-12T01:00:00+02:00,Alexis ou le Traité du Vain Combat - Le Coup de Grâce,,canonique,1920-1930,397,462,,9,Camille ,,,
"Zévaco, Michel",1920-10-21T01:00:00+02:00,Le Pré aux clercs,Ebooks libres et gratuits,non-canonique,1920-1930,52,56,,10,Camille ,,,
"Chardonne, Jacques",1929-01-01T00:00:00+01:00,Les Varais,Grasset,non-canonique,1920-1930,19,32,,6,Camille ,,,
"Bazin, René",1926-01-01T00:00:00+01:00,Baltus le Lorrain,Bibebook,non-canonique,1920-1930,8,non pertinent,,3,Camille ,,,
"Bordeaux, Henry",1922-06-04T01:00:00+02:00,Le fantôme de la rue Michel-Ange,,non-canonique,1920-1930,20,non pertinent,,4,,absence de div (mais structure simple à reconstituer),,
"Boylesve, René",1920-01-01T00:00:00+01:00,Le carrosse aux deux lézards verts,,non-canonique,1920-1930,15,20,,1,Camille,,,
"Malot, Hector",1923-11-28T00:00:00+01:00,Romain Kalbris,Atramenta (www.atramenta.net),non-canonique ; non-canonique,1920-1930,38,44,,27,Camille,,,
"Chateaubriant, Alphonse de",1923-05-08T00:00:00+01:00,La Brière,Ebooks libres et gratuits,non-canonique,1920-1930,1,4,,24,Camille,,,
"Dabit, Eugène",1929-08-08T01:00:00+02:00,L'Hôtel du Nord,Ebooks libres et gratuits,non-canonique,1920-1930,15,25,,14,Camille ,,,
"Descaves, Lucien",1924-01-04T00:00:00+01:00,L'Hirondelle sous le toit,Bibebook,non-canonique,1920-1930,32,50,,2,Camille ,,,
"Duhamel, Georges",1920-11-01T00:00:00+01:00,Confession de Minuit,,non-canonique,1920-1930,60,non pertinent,,28,Camille,,,
"Hémon, Louis",1924-01-04T00:00:00+01:00,Colin-Maillard,Bibebook,non-canonique,1920-1930,34,47,posthume,4,Camille,juste des div de parties (mais correspond au texte),,
"Istrati, Panaït",1923-01-04T00:00:00+01:00,Les récits d’Adrien Zograffi I,Bibebook,non-canonique,1920-1930,40,58,,24,,,,
"Jaloux, Edmond",1922-01-04T00:00:00+01:00,L'escalier d'or,Bibebook,non-canonique,1920-1930,29,non pertinent,,4,,XML incomplet,,
"Kessel, Joseph",1926-01-01T00:00:00+01:00,Les Captifs,Gallimard (Editions),non-canonique,1920-1930,34,67,,9,Camille ,,,
"Margueritte, Victor",1922-09-19T01:00:00+02:00,La garçonne,,non-canonique,1920-1930,5,non pertinent,,16,Camille ,,,
"Némirovsky, Irène",1929-07-30T01:00:00+02:00,David Golder,Ebooks libres et gratuits,non-canonique,1920-1930,5,6,,14,Camille ,,,
"Radiguet, Raymond",1923-01-01T00:00:00+01:00,Le diable au corps,,non-canonique,1920-1930,25,57,,61,,texte super moche et pas divisé,,
"Radiguet, Raymond",1924-03-05T00:00:00+01:00,Le Bal du comte d’Orgel,ILIVRI,non-canonique,1920-1930,25,57,,31,Camille,titre de chapitre reprend les premiers mots du chapitre : choix de l'édition ou dans le texte d'origine ? ,,
"Robida, Albert",1925-03-15T00:00:00+01:00,Un chalet dans les airs,A. Colin,non-canonique,1920-1930,27,47,,1,Camille,,,
"Toulet, Paul Jean",1920-06-20T01:00:00+02:00,"La jeune fille verte, roman",,non-canonique,1920-1930,8,non pertinent,,12,Camille,fin du texte manquante. Copier/coller,,
"Renard, Maurice",1921-01-04T00:00:00+01:00,L'Homme Truqué,Bibebook,"non-canonique, fantastique, non-canonique, nouvelles",1920-1930,25,non pertinent,,4,Camille,,,
"Audoux, Marguerite",1920-01-01T00:00:00+01:00,L'atelier de Marie-Claire,Bibebook,non-canonique,1920-1930,29,31,,9,,,,
"Le Rouge, Gustave",1923-01-04T00:00:00+01:00,"Les Aventures de Todd Marvel, détective milliardaire",Bibebook,"non-canonique, non-canonique",1920-1930,21,non pertinent,,21,,,,
"Leblanc, Maurice",1924-01-04T00:00:00+01:00,La comtesse de Cagliostro,Bibebook,non-canonique,1920-1930,25,non pertinent,,10,Camille ,,,
"Rosny aîné, J-H",1926-10-09T00:00:00+01:00,La Femme disparue,Ebooks libres et gratuits,non-canonique,1920-1930,9,106,,2,Camille ,,,
"Leroux, Gaston",1921-01-04T00:00:00+01:00,Chéri-Bibi et Cécily,Bibebook,non-canonique,1920-1930,45,non pertinent,,18,Camille ,,,
"Aragon, Louis",1934-02-19T00:00:00+01:00,Les Cloches de Bâle,,canonique,1930-1940,329,1410,,21,,,,
"Aragon, Louis",1936-09-05T01:00:00+02:00,Les Beaux Quartiers,,canonique,1930-1940,329,1410,,27,,,,
"Bernanos, Georges",1936-07-17T01:00:00+02:00,Le Journal d'un curé de campagne,Groupe «Ebooks libres et gratuits»,canonique,1930-1940,108,319,,29,,,,
"Bernanos, Georges",1937-06-04T01:00:00+02:00,Nouvelle histoire de Mouchette,,canonique,1930-1940,108,319,,11,,,,
"Bernanos, Georges",1935-06-04T01:00:00+02:00,Un crime,,canonique,1930-1940,108,319,,18,,,,
"Céline, Louis Ferdinand",1936-08-05T01:00:00+02:00,Mort à crédit,,canonique,1930-1940,161,2510,,33,,,,
"Céline, Louis-Ferdinand",1932-12-28T00:00:00+01:00,Voyage au bout de la nuit,Ebooks libres et gratuits,canonique,1930-1940,161,2510,,41,,,,
Colette,1939-07-19T01:00:00+02:00,Duo - Le Toutounier,Groupe «Ebooks libres et gratuits»,canonique,1930-1940,non pertinent,1190,,15,,,,
Colette,1933-07-19T01:00:00+02:00,La Chatte,Groupe «Ebooks libres et gratuits»,canonique,1930-1940,non pertinent,1190,,20,,,,
"Drieu la Rochelle, Pierre",1931-09-17T01:00:00+02:00,Le Feu follet,Ebooks libres et gratuits,canonique,1930-1940,36,143,,6,,,,
"Giono, Jean",1937-08-08T00:00:00+02:00,Batailles dans la montagne,,canonique,1930-1940,260,451,,10,,,,
"Giono, Jean",1930,Regain,,canonique,1930-1940,,,,36,,,,
"Giono, Jean",1936,Que ma joie demeure,à trouver ,canonique,1930-1940,,,,27,,,,
"Gracq, Julien",1938-04-22T01:00:00+02:00,Au château d'Argol,Corti,canonique,1930-1940,460,650,,10,,,,
"Guilloux, Louis",1935-05-14T01:00:00+02:00,Le Sang Noir,Gallimard,canonique,1930-1940,93,112,,14,,,,
"Malraux, André",1933-05-05T01:00:00+02:00,La Condition Humaine,Ebooks libres et gratuits,canonique,1930-1940,522,1570,,54,,,,
"Malraux, André",1930-12-21T00:00:00+01:00,La voie royale,Hachette France,canonique,1930-1940,522,1570,,24,,,,
"Malraux, André",1937-01-01T00:00:00+01:00,L'espoir,,canonique,1930-1940,522,1570,,29,,,,
"Martin du Gard, Roger",1936,L'été 14,à trouver,canonique,,,,,,,,,
"Mauriac, François",1932-01-01T07:39:10+01:00,Le Noeud de vipères,Grasset,canonique,1930-1940,360,866,,31,,,,
"Montherlant, Henry de",1934-01-24T17:45:53+01:00,Les célibataires,AlexandriZ,canonique,1930-1940,39,161,,17,,,,
"Montherlant, Henry de",1936-04-11T00:00:00+01:00,Les jeunes filles,AlexandriZ,canonique,1930-1940,39,161,,41,,,,
"Nizan, Paul",1931-08-03T01:00:00+02:00,Aden Arabie,Ebooks libres et gratuits,canonique,1930-1940,129,157,,10,,,,
"Nizan, Paul",1938-05-08T01:00:00+02:00,La Conspiration,Ebooks libres et gratuits,canonique,1930-1940,129,157,,9,,,,
"Queneau, Raymond",1933-07-17T01:00:00+02:00,Le Chiendent,,canonique,1930-1940,402,623,,10,,,,
"Ramuz, Charles-Ferdinand",1934,Derborence,à trouver,canonique,,,,,21,,,,
"Saint-Exupéry, Antoine de",1931-04-21T01:00:00+02:00,Vol de nuit,Ebooks libres et gratuits,canonique,1930-1940,26,105,,38,,,,
"Sartre, Jean-Paul",1938-03-10T00:00:00+01:00,La Nausée,Gallimard - Le livre de Poche,canonique,1930-1940,538,2460,,29,,,,
"Yourcenar, Marguerite",1934-08-15T01:00:00+02:00,Denier du rêve,Editions Gallimard,canonique,1930-1940,397,462,,7,,,,
"Simenon, Georges",1932-01-24T00:00:00+01:00,L'affaire saint-fiacre,,canonique,1930-1940,62,194,,29,,,,
"Simenon, Georges",1931-06-01T01:00:00+02:00,La tête d'un homme,AlexandriZ,"canonique, ",1930-1940,62,194,,20,,,,
"Aymé, Marcel",1933,La jument verte,à trouver,non-canonique,,,,,25,,,,
"Bernard, Marc",1931,Au secours !,à trouver ,non-canonique,,,,,22,,,,
"Chardonne, Jacques",1934-36,Les destinées sentimentales,à trouver,non canonique,,,,,8,,,,
"Dabit, Eugène",1934-06-04T01:00:00+02:00,Un mort tout neuf,,non-canonique,1930-1940,15,25,,4,,,,
"Duhamel, Georges",1933-04-20T01:00:00+02:00,Le notaire du Havre,,non-canonique,1930-1940,60,non pertinent,,18,,,,
"Duhamel, Georges",1935-01-01T00:00:00+01:00,La nuit de la Saint-Jean,,non-canonique,1930-1940,60,non pertinent,,15,,,,
"Duhamel, Georges",1934-01-01T00:00:00+01:00,Vue de la terre promise,,non-canonique,1930-1940,60,non pertinent,,13,,,,
"Duhamel, Georges",1934-01-01T00:00:00+01:00,Le jardin des bêtes sauvages,,non-canonique,1930-1940,60,non pertinent,,16,,,,
"Calet, Henri",1935-07-06T00:00:00+02:00,La belle lurette,,non-canonique,1930-1940,39,53,,8,,,,
"Kessel, Joseph",1932,Fortune carrée,,non-canonique,,,,,21,,,,
"Némirovsky, Irène",1931-10-17T00:00:00+01:00,Les Mouches d'automne,Ebooks libres et gratuits,non-canonique,1930-1940,5,6,,6,,,,
"Le Faure, Georges",1934-01-04T00:00:00+01:00,Le brigadier Floridor,Bibebook,non-canonique,1930-1940,4,10,,1,,,,
"Lallier, Joseph",1932-01-04T00:00:00+01:00,Le spectre menaçant,Bibebook,non-canonique,1930-1940,0,non pertinent,,1,,,,
"Bernède, Arthur",1930-01-04T00:00:00+01:00,L'homme au masque de fer,Bibebook,non-canonique,1930-1940,3,5,,3,,,,
"Audoux, Marguerite",1937-01-01T00:00:00+01:00,Douce Lumière,Bibebook,non-canonique,1930-1940,29,31,,3,,,,
"Galopin, Arnould",1930-01-04T00:00:00+01:00,Le sergent Bucaille,Bibebook,non-canonique,1930-1940,4,12,,1,,,,
"Leblanc, Maurice",1932-01-04T00:00:00+01:00,De minuit à sept heures,Bibebook,non-canonique,1930-1940,25,non pertinent,,5,,,,
"Leblanc, Maurice",1930-03-29T00:00:00+01:00,Le prince de Jéricho,Ebooks libres et gratuits,non-canonique,1930-1940,25,non pertinent,,6,,,,
"Leblanc, Maurice",1930-04-18T00:00:00+02:00,Le Cabochon d'émeraude,Feedbooks,non-canonique,1930-1940,25,non pertinent,,3,,,,
"Leblanc, Maurice",1931-01-04T00:00:00+01:00,La Barre-y-va,Bibebook,non-canonique,1930-1940,25,non pertinent,,9,,,,
"Leblanc, Maurice",1935-01-04T00:00:00+01:00,La Cagliostro se venge,Bibebook,non-canonique,1930-1940,25,non pertinent,,5,,,,
"Very, Pierre",1935,Les disparus de Saint-Agil,,"non-canonique, jeunesse",,,,,22,,,,
"Aragon, Louis",1942-12-23T00:00:00+01:00,Les Voyageurs de l'Impériale,,canonique,1940-1950,329,1410,,20,,,,
"Aragon, Louis",1944-12-28T20:50:49+02:00,Aurélien,Gallimard,canonique,1940-1950,329,1410,,24,,,,
"Beauvoir, Simone de",1946-03-15T00:00:00+01:00,Tous les hommes sont mortels,Editions Gallimard,canonique,1940-1950,398,544,,8,,,,
"Beauvoir, Simone de",1943,L'Invitée,Indisponible,canonique,1940-1950,398,544,,13,,,,
"Bernanos, Georges",1946-07-17T00:00:00+01:00,Monsieur Ouine,Groupe «Ebooks libres et gratuits»,canonique,1940-1950,108,319,,11,,,,
"Blanchot, Maurice",1941-09-09T00:00:00+01:00,Thomas l'Obscur,Editions Gallimard,canonique,1950-1960,236,1210,,7,,,,
"Camus, Albert",1942-11-18T00:00:00+01:00,L'étranger,,canonique,1940-1950,574,1480,,73,,,,
"Camus, Albert",1944-02-05T00:00:00+01:00,Le premier homme,,canonique,1940-1950,574,1480,,10,,,,
"Camus, Albert",1947-02-06T00:00:00+01:00,La peste,Ebooks libres et gratuits,canonique,1940-1950,574,1480,,46,,,,
"Céline, Louis Ferdinand",1944-01-01T00:00:00+01:00,Guignol's band,,canonique,1940-1950,161,2510,,15,,,,
"Genet, Jean",1943-12-08T00:00:00+01:00,Notre-Dame-des-Fleurs,Folio,canonique,1940-1950,417,655,,15,,,,
"Giono, Jean",1947-07-10T00:00:00+01:00,Un roi sans divertissement,,canonique,1940-1950,260,451,,18,,,,
"Gracq, Julien",1945-04-22T01:00:00+02:00,Un beau ténébreux,Corti,canonique,1940-1950,460,650,,10,,,,
"Guilloux, Louis",1942-01-11T01:00:00+02:00,Le pain des rêves,Gallimard,canonique,1940-1950,93,112,,4,,,,
"Leiris, Michel",1946-06-28T00:00:00+01:00,L'Âge d'homme,,"canonique, mémoire et autobiographie",1940-1950,306,1450,,11,,,,
"Mac Orlan, Pierre",1941-01-01T00:00:00+02:00,L'Ancre de miséricorde,,canonique,1940-1950,52,105,,34,,,,
"Martin du Gard, Roger",1940,Epilogue,,canonique,,,,,,,,,
"Morand, Paul",1941-12-25T01:00:00+02:00,L’homme pressé,,canonique,1940-1950,157,259,,15,,,,
"Queneau, Raymond",1944-07-27T01:00:00+02:00,Loin De Rueil,,canonique,1940-1950,402,623,,15,,,,
"Queneau, Raymond",1942,Pierrot mon ami,,canonique,1940-1950,402,623,,10,,,,
"Saint-Exupéry, Antoine de",1943-01-02T01:00:00+01:00,Le petit prince,Harcourt,canonique,1940-1950,26,105,,270,,,,
"Simenon, Georges",1949-01-01T00:00:00+01:00,Mon ami Maigret,Presses de la Cité,canonique,1940-1950,62,194,,13,,,,
"Simenon, Georges",1947-01-01T00:00:00+01:00,La pipe de Maigret,Presses de la Cité,"canonique, nouvelles",1940-1950,62,194,,13,,,,
"Simon, Claude",1947-01-11T00:00:00+01:00,La corde raide,Patrick Rebollar/Scriptorium .W.,canonique,1940-1950,1600,non pertinent,,1,,,,
"Vian, Boris",1947-05-29T00:00:00+01:00,L'écume des jours,Ebooks libres et gratuits,canonique,1940-1950,117,187,,41,,,,
"Vian, Boris",1947-06-23T00:00:00+01:00,L'automne à Pékin,Ebooks libres et gratuits,canonique,1940-1950,117,187,,11,,,,
"Vian, Boris",1946-05-05T00:00:00+01:00,J'irai cracher sur vos tombes,,canonique,1940-1950,117,187,,23,,,,
"Antelme, Robert",1949-02-04T00:00:00+01:00,l'espèce humaine,Gallimard,"mémoire et autobiographie, canonique",1950-1960,81,107,,6,,,,
"Barjavel, René",1948-11-28T00:00:00+01:00,Le diable l’emporte,Omnibus,non-canonique,1940-1950,10,22,,4,,,,
"Barjavel, René",1943-11-28T00:00:00+01:00,Le voyageur imprudent,,non-canonique,1940-1950,10,22,,4,,,,
"Barjavel, René",1943-04-05T01:00:00+02:00,Ravage,,non-canonique,1940-1950,10,22,,10,,,,
"Bazin, Hervé",1948,Vipère au poing ,,non-canonique,1940-1950,23,non pertinent,,37,,,,
"Béalu, Marcel",1945-01-01T01:00:00+02:00,L'Experience de la nuit,,non-canonique,1940-1950,4,4,,5,,,,
"Béalu, Marcel",1947-01-01T00:00:00+01:00,Journal d'un mort,Gallimard,non-canonique,1940-1950,4,4,,3,,,,
"Béalu, Marcel",1948-08-03T00:00:00+01:00,L'Araignée d'eau,,non-canonique,1940-1950,4,4,,5,,,,
"Blondin, Antoine",1949-01-01T00:00:00+01:00,L'Europe buissonière,,non-canonique,1940-1950,32,37,,10,,,,
"Calet, Henri",1945-09-19T00:00:00+01:00,Le Bouquet,Gallimard & Atelier Panik éd. numérique,non-canonique,1940-1950,39,53,,3,,,,
"Calet, Henri",1948-03-17T00:00:00+01:00,Le tout sur le tout,,non-canonique,1940-1950,39,53,,4,,,,
"Exbrayat, Charles",1942-01-01T01:00:00+02:00,Jules Matrat,,non-canonique,1940-1950,2,5,,6,,,,
"Jaloux, Edmond",1941-01-04T00:00:00+02:00,Les Visiteurs,Bibebook,non-canonique,1940-1950,29,non pertinent,,1,,,,
"Leblanc, Maurice",1941-04-15T00:00:00+02:00,Les Milliards d'Arsène Lupin,,non-canonique,1940-1950,25,non pertinent,,3,,,,
"Malet, Léo",1943-09-21T01:00:00+02:00,"120, rue de la Gare",Fleuve Noir,non-canonique,1940-1950,24,64,,12,,,,
"Renard, Maurice",1947-01-04T00:00:00+01:00,Le Maître de la lumière,Bibebook,"non-canonique, fantastique",,25,non pertinent,,1,,,,
San-Antonio,1949-01-01T00:00:00+01:00,Réglez-lui son compte !,,non-canonique,1940-1950,non pertinent,66,,2,,,,
Vercors,1942-01-01T01:00:00+02:00,Le silence de la mer,,non-canonique,1940-1950,57,non pertinent,Chiffre BN : 53 si on compte les adaptations théâtrales,50,,,,
"Aragon, Louis",1958-10-14T00:00:00+01:00,La semaine sainte,,canonique,1950-1960,329,1410,,12,,,,
"Beauvoir, Simone de",1958,Mémoires d'une jeune fille rangée,,canonique,1950-190,398,544,,9,,,,
"Beckett, Samuel",1953-07-31T00:00:00+01:00,L'Innommable,Minuit,canonique,1950-1960,716,1840,,4,,,,
"Beckett, Samuel",1951-11-22T21:00:00+01:00,Molloy,Minuit,canonique,1950-1960,716,1840,,7,,,,
"Beckett, Samuel",1951-01-01T00:00:00+01:00,Malone meurt,Minuit,canonique,1950-1960,716,1840,,5,,,,
